School,Disabilities,File Name,Gen Ed,Resource Specialist,Socioeconomically Disadvantaged
Oak Valley Elementary,13.5,/Users/georgiachanning/LA/SARC_tables/42691386119804_tables.txt,59.15,['2.0'],['42.0']
Dinuba Unified School District Kennedy Elementary,3.03,/Users/georgiachanning/LA/SARC_tables/54755310102707_tables.txt,38.44,Unknown,['90.1']
/Users/georgiachanning/LA/SARC_tables/30664986094627_tables.txt,98.04,/Users/georgiachanning/LA/SARC_tables/30664986094627_tables.txt,72.98,['.1'],['34.9']
Indianola Elementary School,100.00,/Users/georgiachanning/LA/SARC_tables/10624306007280_tables.txt,38.51,"['3.0', '.1']",['80.3']
Will Rogers Elementary School,30.43,/Users/georgiachanning/LA/SARC_tables/19647746020309_tables.txt,47.74,['1.0'],['95.8']
River Bluff Elementary,9.38,/Users/georgiachanning/LA/SARC_tables/10739656120521_tables.txt,830.8,Unknown,['51.7']
Gettysburg Elementary School,8.70,/Users/georgiachanning/LA/SARC_tables/10621176106660_tables.txt,857.4,['3.0'],['47.2']
Munsey Elementary School,95.74,/Users/georgiachanning/LA/SARC_tables/15633216009096_tables.txt,31.66,['3.3'],['93.7']
Golden Springs Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/19649076021836_tables.txt,Unknown,['.5'],['77.2']
Hot Springs Elementary School,Unknown,/Users/georgiachanning/LA/SARC_tables/54719516054100_18-19_1_tables.txt,Unknown,Unknown,Unknown
Dr Douglas K Fletcher Elementary School,97.67,/Users/georgiachanning/LA/SARC_tables/15633210129171_tables.txt,55.85,"['1.3', '.1']",['62.3']
Jackson Avenue Elementary School,98.18,/Users/georgiachanning/LA/SARC_tables/01612006001283_tables.txt,60.50,['.1'],['39.7']
Rosa Parks Elementary,16.22,/Users/georgiachanning/LA/SARC_tables/19647746116685_tables.txt,33.97,Unknown,['93.1']
Sunnyside Elementary School,17.95,/Users/georgiachanning/LA/SARC_tables/37680236038012_tables.txt,65.35,['1.0'],['35.3']
/Users/georgiachanning/LA/SARC_tables/19650376102966_tables.txt,11.76,/Users/georgiachanning/LA/SARC_tables/19650376102966_tables.txt,522.9,Unknown,['89.5']
Piute Middle School,4.76,/Users/georgiachanning/LA/SARC_tables/19646676014740_tables.txt,16.80,Unknown,['97.1']
